trophicGroup,experiment,year,region,annual_mean,annual_sd,annual_mean_u,annual_mean_l
Carni,ssp370,2063,Temperate,-0.0070611114255900755,0.8485851292974553,0.8415240178718653,-0.8556462407230454
Carni,ssp370,2064,Temperate,-0.017475564268068726,1.4152422089100853,1.3977666446420167,-1.432717773178154
Carni,ssp370,2065,Temperate,0.03854865179589115,1.2698964260076084,1.3084450778034995,-1.2313477742117174
Carni,ssp370,2066,Temperate,0.13738563010890692,1.043929774451353,1.1813154045602599,-0.906544144342446
Carni,ssp370,2067,Temperate,0.11704905583640954,1.226241475200554,1.3432905310369634,-1.1091924193641445
Carni,ssp370,2068,Temperate,0.04767415428167414,1.2783522499582303,1.3260264042399044,-1.2306780956765562
Carni,ssp370,2069,Temperate,0.036107577523332685,1.0819619441915496,1.1180695217148822,-1.045854366668217
Carni,ssp370,2070,Temperate,0.06545610603037272,1.3767148180801139,1.4421709241104865,-1.3112587120497412
Carni,ssp370,2071,Temperate,0.0678364026181915,1.2724865315445502,1.3403229341627416,-1.2046501289263587
Carni,ssp370,2072,Temperate,0.14566665289329536,1.0655987323185538,1.2112653852118491,-0.9199320794252585
Carni,ssp370,2073,Temperate,0.09775586890157878,1.2458206644981156,1.3435765333996943,-1.1480647955965368
Carni,ssp370,2074,Temperate,0.11342895114718926,1.2538011063395242,1.3672300574867136,-1.140372155192335
Carni,ssp370,2075,Temperate,0.17140493349167682,1.0742148107614706,1.2456197442531474,-0.9028098772697938
Carni,ssp370,2076,Temperate,0.1398791434515222,0.925050182471874,1.064929325923396,-0.7851710390203518
Carni,ssp370,2077,Temperate,0.0644079756360115,1.321125419120852,1.3855333947568633,-1.2567174434848405
Carni,ssp370,2078,Temperate,0.07071468033095347,1.5775328272072997,1.6482475075382532,-1.5068181468763462
Carni,ssp370,2079,Temperate,0.15378050025308815,1.2095891618958672,1.3633696621489553,-1.055808661642779
Carni,ssp370,2080,Temperate,0.13375255618780307,1.2402211103371417,1.3739736665249447,-1.1064685541493386
Carni,ssp370,2081,Temperate,0.16495848768452154,1.5445670802526663,1.709525567937188,-1.3796085925681447
Carni,ssp370,2082,Temperate,0.12623539781629212,1.3903148655846862,1.5165502634009784,-1.264079467768394
Carni,ssp370,2083,Temperate,0.04247711985304346,1.504092292798912,1.5465694126519554,-1.4616151729458686
Carni,ssp370,2084,Temperate,0.03366702398758975,1.2100008494949073,1.243667873482497,-1.1763338255073175
Carni,ssp370,2085,Temperate,0.01321698575853425,1.353822836767863,1.3670398225263973,-1.3406058510093288
Carni,ssp370,2086,Temperate,0.09906508061556688,1.387994122413994,1.4870592030295608,-1.2889290417984272
Carni,ssp370,2087,Temperate,0.05557149342008638,1.3158195995835924,1.3713910930036788,-1.260248106163506
