order,family,scientificName,aphiaID,TG_latest,References
Calanoida,Augaptilidae,Augaptilus,104137,carnivore,"(Benedetti et al., 2016)"
Calanoida,Aetideidae,Bradyidius,104115,omnivore,"(Benedetti et al., 2022)"
Calanoida,Calanidae,Calanoides,104151,omnivore,"(Richardson et al., 2006)"
Calanoida,Pontellidae,Calanopia,104207,carnivore,"(Campbell et al., 2021)"
Calanoida,Calanidae,Calanus,104152,omnivore,"(Richardson et al., 2006) Richardson et al. (2006; 10.1016/j.pocean.2005.09.011); (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Calocalanus,104193,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Candaciidae,Candacia,104157,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Centropagidae,Centropages,104159,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2016) (Benedetti et al., 2022) Comprised of omni and carni"
Calanoida,Clausocalanidae,Clausocalanus,104161,omnivore,"(Richardson et al., 2006) and (Benedetti et al., 2022) Benedetti et al (2022; 10.1111/jbi.14512)"
Calanoida,Clausocalanidae,Ctenocalanus,104162,omnivore,All covered Ctenocalanus in CPR are omni
Calanoida,Paracalanidae,Delibus,363904,omnivore,"(Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Drepanopus,149746,omnivore,Inherited from family level
Calanoida,Augaptilidae,Euaugaptilus,104139,carnivore,"(Benedetti et al., 2016)"
Calanoida,Eucalanidae,Eucalanus,104171,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Euchaeta,104174,carnivore,"(Benedetti et al., 2022)"
Calanoida,Aetideidae,Euchirella,104120,omnivore,"(Richardson et al., 2006)"
Calanoida,Aetideidae,Gaetanus,104121,omnivore,"(Benedetti et al., 2022)"
Calanoida,Heterorhabdidae,Heterorhabdus,104178,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Pontellidae,Labidocera,104208,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Lucicutiidae,Lucicutia,104183,omnivore,"(Benedetti et al., 2022)"
Calanoida,Paracalanidae,Mecynocera,104184,omnivore,"(Benedetti et al., 2022)"
Calanoida,Calanidae,Mesocalanus,104153,omnivore,"(Benedetti et al., 2022) *"
Calanoida,Metridinidae,Metridia,104190,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022) - detritivore"
Calanoida,Clausocalanidae,Microcalanus,104164,omnivore,All covered Microcalanus are omni
Calanoida,Euchaetidae,Euchaetidae,104086,carnivore,"(Benedetti et al., 2022)"
Calanoida,Calanidae,Calanidae,104079,omnivore,All covered Calanidae are omni
Calanoida,Eucalanidae,Eucalanidae,104085,omnivore,"(Pata & Hunt, 2025) (Campbell et al., 2021)"
Calanoida,Rhincalanidae,Rhincalanidae,345271,omnivore,"(Richardson et al., 2006)"
Calanoida,Pontellidae,Pontellidae,104097,carnivore,"(Campbell et al., 2021)"
Calanoida,Paracalanidae,Paracalanidae,104093,omnivore,"(Campbell et al., 2021)"
Calanoida,Scolecitrichidae,Scolecitrichidae,104103,omnivore,"(Campbell et al., 2021)"
Calanoida,Calanidae,Neocalanus,104155,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Paracalanus,104196,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta,196874,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Eucalanidae,Pareucalanus,237967,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Parvocalanus,347746,omnivore,"(Campbell et al., 2021)"
Calanoida,Metridinidae,Pleuromamma,104191,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Pontellidae,Pontella,104209,carnivore,"(Campbell et al., 2021) (Benedetti et al., 2022)"
Calanoida,Pontellidae,Pontellina,104210,carnivore,"(Campbell et al., 2021) (Benedetti et al., 2022)"
Calanoida,Pontellidae,Pontellopsis,104211,carnivore,Inherited from family level
Calanoida,Clausocalanidae,Pseudocalanus,104165,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Pseudodiaptomidae,Pseudodiaptomus,157680,omnivore,NA
Calanoida,Rhincalanidae,Rhincalanus,104172,omnivore,"(Richardson et al., 2006) (Campbell et al., 2021)"
Calanoida,Scolecitrichidae,Scaphocalanus,104228,omnivore,"(Benedetti et al., 2022)"
Calanoida,Scolecitrichidae,Scolecithricella,104229,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022) (Razouls et al., 2005-2026)"
Calanoida,Scolecitrichidae,Scolecithrix,104230,omnivore,"(Benedetti et al., 2022)"
Calanoida,Subeucalanidae,Subeucalanus,104173,omnivore,"(Benedetti et al., 2022)"
Calanoida,Temoridae,Temora,104241,omnivore,"(Campbell et al., 2021) (Benedetti et al., 2022)"
Calanoida,Tortanidae,Tortanus,157683,carnivore,"(Campbell et al., 2021)"
Calanoida,Aetideidae,Undeuchaeta,104128,carnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Pontellidae,Epilabidocera ,254329,carnivore,Inherited from family level
Calanoida,Calanidae,Nannocalanus minor,104469,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Neocalanus cristatus,104470,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2022)"
Calanoida,Calanidae,Neocalanus flemingeri,353708,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2022)"
Calanoida,Calanidae,Neocalanus gracilis,104471,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Neocalanus plumchrus,196772,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2022)"
Calanoida,Calanidae,Neocalanus robustior,104472,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Calanidae,Neocalanus tonsus,344701,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Paracalanus aculeatus,104681,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Paracalanus aculeatus aculeatus,1464945,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta barbata,104557,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Paracalanus denudatus,104682,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Paracalanus indicus,104683,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Paracalanus parvus parvus,745865,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Paracalanus parvus parvus,745865,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta antarctica,344974,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
